iter	Logloss
0	0.6881464571
1	0.6833927012
2	0.6785516958
3	0.6754771224
4	0.6719741117
5	0.6686328914
6	0.6653211085
7	0.6620622854
8	0.658651284
9	0.6562072822
10	0.6538355107
11	0.6518656044
12	0.6499409865
13	0.6481494609
14	0.6463075174
15	0.644475371
16	0.6431661668
17	0.6416324154
18	0.6399075747
19	0.6383318622
20	0.6372846375
21	0.6358065724
22	0.6350546927
23	0.6341297928
24	0.632611384
25	0.6310855812
26	0.6299118725
27	0.6290343868
28	0.6277595186
29	0.6265761515
30	0.6256159452
31	0.6247565749
32	0.6239039516
33	0.6233236133
34	0.6227903194
35	0.6218704105
36	0.6209343734
37	0.6201759777
38	0.6189946902
39	0.61820316
40	0.6169922964
41	0.6161478065
42	0.615521579
43	0.6146765808
44	0.6142011914
45	0.6137695191
46	0.6129657888
47	0.6122905296
48	0.6117731329
49	0.6110982435
50	0.6104801956
51	0.6096289587
52	0.6087986099
53	0.6078850322
54	0.6074467053
55	0.6068343878
56	0.6059459035
57	0.6054542934
58	0.6048023254
59	0.6043359474
60	0.6038528867
61	0.6029877398
62	0.6024852697
63	0.6016922146
64	0.601088585
65	0.6005156869
66	0.5999973197
67	0.5993571821
68	0.5987003156
69	0.5982317656
70	0.5974998498
71	0.5974398196
72	0.5968856376
73	0.596123129
74	0.5956188566
75	0.5951913897
76	0.5947407702
77	0.5941300701
78	0.5935046282
79	0.5928497026
80	0.5922103969
81	0.5917094981
82	0.5910541566
83	0.5905033943
84	0.5899758308
85	0.5896467506
86	0.5890393778
87	0.5885612618
88	0.5882000638
89	0.5876348369
90	0.5870148943
91	0.5865799409
92	0.5859911919
93	0.5856085512
94	0.5850332038
95	0.5844894658
96	0.5838855128
97	0.5831215716
98	0.5827807071
99	0.5823200595
100	0.5819017427
101	0.5812720492
102	0.580586993
103	0.5798540605
104	0.579066597
105	0.5783856075
106	0.5780082351
107	0.5775877
108	0.577288427
109	0.5767010643
110	0.5761804326
111	0.5758188649
112	0.5754840543
113	0.5750147187
114	0.5741559954
115	0.5737202564
116	0.5733232436
117	0.5728710066
118	0.5722914539
119	0.571764907
120	0.5711694571
121	0.5707006299
122	0.5702001007
123	0.5699707474
124	0.5695117634
125	0.5690748691
126	0.5686029918
127	0.5683892583
128	0.5678207504
129	0.566903106
130	0.5665939896
131	0.5662029844
132	0.565674358
133	0.5652885748
134	0.5650438789
135	0.5647220541
136	0.5643276754
137	0.563791886
138	0.5633182526
139	0.5627488204
140	0.5624578656
141	0.562133268
142	0.5615744185
143	0.5610554968
144	0.5606675416
145	0.5604025121
146	0.560153426
147	0.5596714281
148	0.5593740035
149	0.5588141374
150	0.5585036346
151	0.5580633206
152	0.557577256
153	0.5571762227
154	0.5568687237
155	0.5563634809
156	0.5560904104
157	0.5554516131
158	0.5551067281
159	0.5545739888
160	0.5541621417
161	0.5538808915
162	0.5536582852
163	0.5532794802
164	0.552788933
165	0.5523505599
166	0.5517854717
167	0.5511250006
168	0.5508164388
169	0.550279263
170	0.5497777634
171	0.5492257996
172	0.5488326224
173	0.5484664797
174	0.5479983456
175	0.5475622831
176	0.547195632
177	0.5466583638
178	0.5462058958
179	0.5455614143
180	0.5451774334
181	0.5447580075
182	0.544162003
183	0.5435750101
184	0.5431526727
185	0.5428125014
186	0.5422090568
187	0.5416173039
188	0.5412864676
189	0.5404269124
190	0.540006747
191	0.5394024705
192	0.5388828556
193	0.5383173977
194	0.5377322532
195	0.5373746598
196	0.5370775125
197	0.5365710681
198	0.5361099584
199	0.5357298132
